location,size,society,total_sqft,bath,balcony,price
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Ramagondanahalli,2,ViistLa,1251,2,1,46
Yeshwanthpur,3,IBityin,1677,3,1,92.13
Sarjapur  Road,2,PualeSk,1346,2,1,67.38
Electronic City Phase II,2,Sryalan,1090,2,1,31.48
Gandhi Bazar,6,,1020,6,1,370
Kanakapura,3,SPavenc,1290,2,3,51.1
Rajaji Nagar,5,Phaku K,7514,7,3,1500
Sarjapur  Road,3,Ahriaup,1881,3,2,145
Garudachar Palya,2,,1150,2,2,52
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,3,,1200,2,2,42
Dairy Circle,3,Soeurri,2735,4,2,340
Austin Town,2,,950,2,0,65
Bommasandra Industrial Area,3,,1491,3,3,40.5
Ramamurthy Nagar,2,Vaharvi,1050,2,1,51.66
Hoodi,3,GoAirej,1660,3,2,131
Nagavarapalya,2,,1134,2,2,55
Hebbal,2,,1100,2,1,60
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Vasatha Vallbha Nagar,2,,1080,2,1,37.8
CV Raman Nagar,1,Pu270a ,705,2,1,50
BAGUR ROAD,3,,1200,2,2,35
Anandapura,2,LoLeoen,1200,2,1,50
Talaghattapura,3,Sodgere,1804,3,2,127
Sidedahalli,2,Dhave E,750,2,0,20
Shanti Nagar,2,,420,1,1,25
Malleshwaram,4,,2800,4,2,252
Battarahalli,2,,1090,2,2,38.37
Gandhi Bazar,6,,1020,6,1,370
Electronic City,3,DSgmax ,1287,3,1,55
Thigalarapalya,3,Prtanha,2215,4,2,157
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,2,Usquaya,1045,2,2,42.15
Hormavu,2,,1263,2,1,47.36
Whitefield,3,SLiand ,1431,3,2,85
Dommasandra,2,,999,2,2,32.9
Vittasandra,3,Prlla C,1650,3,2,85.5
Lavakusha Nagar,3,VRest N,1535,3,1,72
Marathahalli,4,Prionad,2524,5,2,180
Kanakpura Road,3,PrarePa,1300,3,2,69
Gandhi Bazar,6,,1020,6,1,370
7th Phase JP Nagar,3,,2095,3,2,150
Yelahanka New Town,1,KHatsFl,284,1,1,8
Ananth Nagar,1,,500,1,1,14
Nallurhalli,2,Mauil T,1265,2,2,68
Kudlu Gate,2,,1215,2,1,44.96
Gandhi Bazar,6,,1020,6,1,370
Electronics City Phase 1,2,,1028,2,1,51
Hegde Nagar,3,Golmsn ,1835,2,1,92
Munnekollal,3,,1800,3,3,65
1st Phase JP Nagar,3,Inntsth,2077,3,3,175
Gandhi Bazar,6,,1020,6,1,370
Balepet,6,,499,5,0,89
Dasanapura,2,Tavenew,708,2,1,31.15
Basavangudi,2,,1200,2,3,120
Hosakerehalli,2,,925,2,1,46.25
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Amruthahalli,3,Prentra,1450,2,1,90
Kasavanhalli,2,MSopsw ,1100,2,1,65
Kadubeesanahalli,2,Saisei ,1185,2,3,55
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Shettigere,1,LendaVi,660,1,1,35
Ambedkar Nagar,3,,1920,4,2,121
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
1st Phase JP Nagar,4,,4550,2,1,240
Bhoganhalli,2,Rosha I,1205,2,1,68.32
Haralur Road,2,,1200,2,2,46
Akshaya Nagar,3,DLhtsnd,1421,2,2,73
6th Phase JP Nagar,3,,1250,3,3,48.9
Whitefield,1,Oreldhi,524,1,1,29
Gandhi Bazar,6,,1020,6,1,370
Thubarahalli,3,Asnts a,1540,3,1,90
Sarjapur  Road,2,AsastDe,984,2,1,45.91
Rachenahalli,2,AsNowre,985,2,1,50.17
Whitefield,4,,2830,4,3,161
Byrasandra,2,Mancyi ,1140,2,3,60
Gandhi Bazar,6,,1020,6,1,370
Begur Road,3,Dhalsh ,1410,2,3,44.42
Raja Rajeshwari Nagar,3,,1700,2,2,86
Gandhi Bazar,6,,1020,6,1,370
Dasarahalli,2,KSliaor,1333,2,1,86.65
Electronic City,2,Goty  E,1258,2,1,85.5
Dodda Nekkundi Extension,3,AlEcone,1458,2,2,87
Electronic City,2,Prarkun,1386,2,1,85
Electronic City Phase II,2,Sryalan,1140,2,1,32.92
Lakshminarayana Pura,2,RothaVa,1200,2,3,83
Belathur,2,,1081,2,1,39
Whitefield,4,ArsiaEx,2135,3,2,149
Gandhi Bazar,6,,1020,6,1,370
Pampa Extension,2,Stensg ,1178,2,1,80
 Devarachikkanahalli,2,Prsorhi,991,2,2,40
Gottigere,3,Krryll ,1493,2,3,90
Subramanyapura,3,Mayne A,2495,3,3,130
Kammasandra,2,,1080,2,1,31.99
Dasanapura,2,Tavenew,814,2,1,53
Electronic City,2,GMown E,1025,2,1,50
Bannerghatta Road,2,PrarePa,1115,2,1,61
Whitefield,4,Prwer S,3075,2,3,188
Gandhi Bazar,6,,1020,6,1,370
Whitefield,3,BrlisCo,1760,3,2,160
Attur Layout,7,,4000,8,1,150
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Hanumanth Nagar,2,Saersel,1175,2,2,52.86
Hebbal,4,Cehosy ,4235,5,3,364
KR Puram,2,SLontel,1100,2,2,45
Gandhi Bazar,6,,1020,6,1,370
Banashankari,2,,1450,2,2,50.75
6th Phase JP Nagar,3,HMinebo,1810,3,3,131
Gunjur Palya,3,,1426,2,3,71
Sector 7 HSR Layout,3,Saitya ,2400,2,3,195
Kalyan nagar,2,Satle C,1100,2,1,70
Electronic City Phase II,1,Srrlsnu,650,1,1,35
Old Madras Road,3,Shmes O,1350,3,2,47.25
Kaikondrahalli,2,,900,2,1,27
Billekahalli,2,Epwnee ,1360,2,3,110
Yeshwanthpur,1,IBityin,674,1,1,36.85
Whitefield,3,Prtates,1655,3,2,110
Gandhi Bazar,6,,1020,6,1,370
"Panathur Road, ",1,,936,1,0,53
Kaverappa Layout,2,Kesomrn,1277,2,2,92
Gkvk Layout,2,,1200,2,1,54
Hormavu,2,,1015,2,1,39.08
Budigere,2,PrityTr,1153,2,2,60
Kengeri,2,,1035,2,1,51.5
KR Puram,5,Skdia A,3300,3,1,255
Uttarahalli,2,,1150,2,1,46
Malleshwaram,2,,1020,2,1,80
8th Phase JP Nagar,2,URncysi,1160,2,1,95
Bisuvanahalli,3,Prityel,1075,2,1,31
Brookefield,2,Roeekbl,1225,2,2,72
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Nagappa Reddy Layout,3,Sanorpa,1350,3,2,60
Kanakpura Road,3,PrarePa,1300,3,1,69
Channasandra,2,MVisear,830,2,1,36.28
Hennur Road,2,Maity W,1155,2,1,69.18
Sarakki Nagar,4,Sowerew,3126,5,3,345
Jalahalli,2,Kuownri,905,2,2,55
Vijayanagar,3,GontsAp,1375,2,0,75
Electronic City,2,,1140,2,2,33.84
Hormavu,3,,1550,2,2,60
Kannamangala,2,VBownre,957,2,1,55
9th Phase JP Nagar,2,NaensGa,890,2,2,45
KR Puram,4,Thessmm,3000,4,2,235
Electronic City,2,GMown E,1070,2,1,55
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Rachenahalli,2,ArariGo,925,2,1,37
Kammasandra,2,Vicony ,1415,2,2,60
Gandhi Bazar,6,,1020,6,1,370
Thanisandra,2,SLaceda,1225,2,1,37
Gandhi Bazar,6,,1020,6,1,370
Whitefield,1,Oreldhi,840,1,1,57
Gandhi Bazar,6,,1020,6,1,370
Thanisandra,3,Bhe 2ko,1732,3,1,112
Gandhi Bazar,6,,1020,6,1,370
Bhoganhalli,2,Srhemay,1260,2,1,69.9
Doddanakundi Industrial Area 2,2,,1092,2,1,49
Kachanayakanahalli,2,ICoolon,827,2,0,34
Horamavu Banaswadi,2,,1357,2,2,54
Chamrajpet,2,,650,1,1,40
7th Phase JP Nagar,3,SrncyRe,1370,2,1,54.79
Whitefield,3,AjhalNa,1725,3,2,106
Jalahalli,2,,1000,2,0,70
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Bellandur,3,,1717,3,2,110
Kanakpura Road,2,PrarePa,700,2,1,34
Shanthi Pura,2,ShtonDw,800,2,1,32
Rajaji Nagar,3,PhestOn,2367,4,3,340
Sonnenahalli,3,DSgam S,1415,2,1,65
7th Phase JP Nagar,3,Puarero,1976,3,1,145
Kambipura,2,,883,2,1,37.01
Yelahanka,1,BCivell,700,1,1,38
Sarjapur,3,Coa 3t ,1445,3,1,50
Battarahalli,3,PaontWa,2082,3,2,104
HSR Layout,2,NRosete,1140,2,2,46
Thanisandra,2,Bhmesy ,933,2,1,66
Gandhi Bazar,6,,1020,6,1,370
Electronic City Phase II,2,,1155,2,1,57
Whitefield,2,SMuilan,1130,2,1,36
Bannerghatta,2,,1200,2,2,73.2
Basaveshwara Nagar Yelahanka,2,,1055,2,1,43
Rajaji Nagar,3,SradeSr,1555,3,2,125
Bellandur,3,CVnetnc,1420,3,2,62
Viviani Road,3,,2214,3,2,350
Devanahalli,1,Sabixtt,658,1,1,26.91
Bhoganhalli,2,Rosha I,896.9,2,1,78.74
Gandhi Bazar,6,,1020,6,1,370
KR Puram,2,SViseun,1035,2,2,40
Gandhi Bazar,6,,1020,6,1,370
Keshava Nagar,3,ETens G,1839,3,3,160
Begur Road,2,Dhalsh ,1200,2,2,44
Yelahanka New Town,1,KHatsFl,488,1,1,20
Banashankari Stage II,3,,1200,2,1,198
Gandhi Bazar,6,,1020,6,1,370
Gunjur Palya,2,Evvan V,993,2,2,42
Hoodi,2,Siiewag,1225,2,1,45
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Sompura,2,Suiseit,825,2,1,32
Bellandur,4,,3596,4,2,359
Gandhi Bazar,6,,1020,6,1,370
Electronic City Phase II,3,SJmesst,1800,3,3,92
Shankarapuram,2,,925,2,1,100
Kanakpura Road,2,GolusLi,1167,2,1,63
Sarjapur,2,,1150,2,1,41
Byatarayanapura,1,Hisic G,650,1,1,50
Sarjapur  Road,1,Shthi S,675,1,1,27
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Yelahanka New Town,2,,1100,2,1,58
Pillanna Gardens,2,,550,1,1,20
Uttarahalli,3,Aklia R,1330,2,1,58
Koramangala,2,Proodt ,1320,2,1,160
Ulsoor,3,,1685,4,2,185
Ullal Uppanagar,6,,2400,5,2,75
Banashankari,3,Bregae ,1770,3,3,108
Prithvi Layout,3,Prigh L,2100,3,3,125
Pai Layout,2,,1000,2,3,42
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,3,SoapeSu,1419.59,2,1,65
Kodihalli,3,KAMESRI,1400,3,1,81
Horamavu Agara,2,,750,2,1,37.49
Bannerghatta,2,,1070,2,1,87
Kannamangala,3,Sonue A,1536,3,1,107
Koramangala,3,K ncy R,1710,3,2,210
JP Nagar,3,Saacy A,2400,3,3,196
Electronic City,2,Prarkun,1342,2,1,72
Chandra Layout,3,,1600,3,2,130
Kanakapura,1,GoityEt,938,1,1,50
Budigere,3,PrityTr,1820,3,2,99
Bhoganhalli,4,Pride S,2439,4,3,170
Kanakpura Road,3,Puestol,1665,3,2,78
Basavangudi,3,,1850,3,2,150
Bommanahalli,2,Alarke ,1091,2,1,40
Sarjapur  Road,2,PualeSk,1346,2,1,74.03
Rajaji Nagar,3,Brway G,1720,3,2,224
Gandhi Bazar,6,,1020,6,1,370
JP Nagar,2,,1060,2,2,33.95
Whitefield,2,,1059,2,1,57
Hebbal,2,Prersis,1299,2,1,97
Yelahanka,3,Niareum,1491,3,2,85
Basaveshwara Nagar,2,,1200,2,2,85
Gandhi Bazar,6,,1020,6,1,370
Hulimavu,1,,581,1,1,29
 Devarabeesana Halli,2,,1296,2,2,70
Doctors Layout,2,Mavelr ,1125,2,1,55
Electronic City,3,Emodsel,1275,3,1,70
Kothanur,2,,1095,2,2,55
Gandhi Bazar,6,,1020,6,1,370
Old Madras Road,2,Sastaat,1330,2,2,74
Marathahalli,2,,1135,2,2,60
Whitefield,1,,516,1,1,39
Doddanakundi Industrial Area 2,2,,1194,2,1,51
Gandhi Bazar,6,,1020,6,1,370
Electronic City,2,GMown E,770,1,1,38
Sarjapur  Road,4,Maana E,3930,5,2,330
Chikkalasandra,3,,1355,3,2,54.2
Gandhi Bazar,6,,1020,6,1,370
Harlur,4,Prncyrn,2569,4,1,175
Gandhi Bazar,6,,1020,6,1,370
Whitefield,2,Sonviik,1116,2,3,51.91
Bhoganhalli,3,Prsun S,1707,3,2,115
Gandhi Bazar,6,,1020,6,1,370
Sultan Palaya,2,,1070,2,2,49
Gandhi Bazar,6,,1020,6,1,370
Tumkur Road,3,Sahtsva,1240,2,1,83
JP Nagar,2,Shestut,1300,2,1,91.65
Ambalipura,2,SJodsed,1700,2,2,76
Yeshwanthpur,3,IBityin,1383,2,2,76.18
Gandhi Bazar,6,,1020,6,1,370
Electronic City,2,,1200,2,1,34.65
Hulimavu,2,,935,2,3,45
Thigalarapalya,3,Prtanha,2072,4,2,151
Gandhi Bazar,6,,1020,6,1,370
Jalahalli,1,Vaniai ,615,1,1,46
KR Puram,2,CiaksRi,1116,2,1,45
Whitefield,3,Asarqz ,1639,3,2,107
Marathahalli,3,,1839,3,2,130
Byatarayanapura,2,,1300,2,2,63
Horamavu Agara,1,,625,1,1,27
Thanisandra,1,Bhmesy ,933,1,1,61
Hosur Road,3,Saageat,2289,3,3,180
Gandhi Bazar,6,,1020,6,1,370
Electronic City,2,,1005,2,1,39.77
Horamavu Agara,2,SLoraFl,1080,2,1,38
Gandhi Bazar,6,,1020,6,1,370
Vishwapriya Layout,2,Prodsth,910,2,3,36
Gandhi Bazar,6,,1020,6,1,370
Electronic City,2,YCnce R,1110,2,1,39.9
Kothanur,2,,1142,2,2,56
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
AECS Layout,2,CMard B,1005,2,1,55
3rd Block Banashankari,3,,1626.6,3,1,133
Kothanur,2,,1074,2,2,54
Basavangudi,2,,1230,2,0,80
Electronic City,2,Itelaa ,660,1,1,23
Coconut Grove Layout,2,,1007,2,2,48
Gandhi Bazar,6,,1020,6,1,370
Whitefield,3,,1820,3,2,113
Basapura,2,Krtiqa ,1100,2,1,60
Gandhi Bazar,6,,1020,6,1,370
Kasavanhalli,2,,1230,2,2,66.25
Horamavu Agara,3,,1176,2,1,37.62
Uttarahalli,3,Aklia R,1590,3,2,57
Frazer Town,2,,1200,2,1,78
"Off Sarjapur Road, ",2,,1298,2,1,65
Hosa Road,2,Mahesr ,1161,2,1,55.15
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kothanur,2,,1285,2,1,60
Electronic City,3,Prarkun,1644,3,2,92.59
Kasavanhalli,3,,1819,3,1,150
1st Phase JP Nagar,2,NCaveun,1205,2,1,85
Basavangudi,3,,2350,3,3,300
Uttarahalli,2,,1050,2,1,42
Raja Rajeshwari Nagar,2,Ely 3Em,1270,2,2,62
9th Phase JP Nagar,3,,1240,2,2,39.89
Jigani,3,DLhtsan,1221,3,3,70
Hoysalanagar,3,RKntsrt,840,2,2,35
Kanakpura Road,2,PuandHi,1339,2,2,63
Thigalarapalya,4,Prtanha,4303,5,2,300
Haralur Road,2,DSimaUl,1315,2,1,85
Raja Rajeshwari Nagar,2,,1250,2,2,68
Bisuvanahalli,2,Prityel,850,2,1,27
7th Phase JP Nagar,3,Eladero,1600,2,2,110
Electronic City,2,Prhtsua,1250,2,1,62
Motappa Layout,3,Puodse ,1312,2,1,56.5
Kadugodi,4,VSaya A,3000,4,0,134
Electronic City Phase II,2,Prngshi,1300,2,2,28
Whitefield,3,,1990,3,3,98
Medahalli,2,,760,2,2,38.5
Gandhi Bazar,6,,1020,6,1,370
Kadugodi,3,InadeAr,1614,2,2,59
Gandhi Bazar,6,,1020,6,1,370
Basava Nagar,3,Prvaska,1182,2,1,60.1
Avalahalli,2,PyonsCa,1053,2,1,46.29
6th Phase JP Nagar,1,,750,1,1,105
Gubbalala,3,MauilTr,2000,3,3,125
Electronic City Phase II,3,SNbay G,1940,4,3,116
Hennur Road,3,Shxorm ,1590,3,2,105
Chennammana Kere,2,,1035,2,2,52.79
Kothanur,2,,1075,2,2,53
Gandhi Bazar,6,,1020,6,1,370
Raja Rajeshwari Nagar,3,Keave E,1260,2,1,62
Gandhi Bazar,6,,1020,6,1,370
Thanisandra,3,Soitya ,1702,3,2,107
Bisuvanahalli,3,Prityel,1080,2,2,65
Kasavanhalli,2,,1189,2,1,45
Tumkur Road,2,Mairer ,1035,2,1,39
Hennur Road,2,DSeldpr,1200,2,1,36
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,3,PrarePa,1300,3,1,69
Yelahanka,2,LedorSa,1330,2,1,93.65
Kaggalipura,3,Baowsig,1210,2,1,65
Chikkalasandra,3,,1350,2,2,54.2
Kaval Byrasandra,3,SyOnen ,1900,2,2,65
Ambedkar Nagar,3,SoechHa,1935,4,2,125
Doddanakundi Industrial Area 2,3,BrlonAv,1410,3,3,90
Narayanapura,2,AriosHe,1469,2,2,99.14
Varthur,2,Hirio L,986,2,1,30
RBI Layout,3,Sasicha,1460,2,2,87
Chandra Layout,3,TiaksAa,1260,2,2,85.05
Chandapura,3,Riiew L,1345,2,2,39.5
Panathur,2,Isncasa,980,2,1,57
Kudlu Gate,2,Brlms P,1164,2,2,75
Subramanyapura,2,Prldsri,929,1,2,51
Kundalahalli,2,,1065,2,1,70
Lakshmiamma Garden,3,,3000,3,1,265
Electronic City,2,,1020,2,1,30.27
Gunjur,3,DSerste,1362,3,1,62.63
Yeshwanthpur,1,IBityin,672,1,1,36.85
Brookefield,3,Stlomg ,1746,3,3,115
Electronic City,2,,1025,2,1,29.6
Harlur,2,SrEndPo,1532,2,1,65
Guni Agrahara,3,,1200,2,2,120
Ganga Nagar,2,AlourAr,1250,2,2,65
Thanisandra,2,SLaceda,1188,2,1,39
Gandhi Bazar,6,,1020,6,1,370
Marathahalli,2,PrensKe,1170,2,2,85
BEL Road,3,,1800,3,2,150
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kasturi Nagar,4,Radenta,2507,4,2,155
Babusapalaya,2,ARngsd ,1061,2,1,34
KR Puram,2,,1290,2,2,69
Sarjapur,2,,1200,2,1,42.6
Bharathi Nagar,2,,1120,2,2,39.29
Electronic City,1,,418,1,1,12
Sarjapur,3,Sondaka,1333,3,1,50
Sarjapur  Road,3,Klark L,1691,3,2,119
Koramangala,3,,1700,3,3,250
Thanisandra,3,G conTh,2030,4,1,125
Balagere,2,Soresea,1012,2,1,70
Kudlu,3,,1245,2,1,60
7th Phase JP Nagar,3,Eladero,1765,3,2,118
Gottigere,2,Srtusi ,1110,2,2,36.25
Akash Nagar,2,,967,2,1,47.8
Sarjapur,2,Peles P,1044,2,2,36
Brookefield,3,Baentgi,1518,3,3,80
KR Puram,3,SLontel,1300,2,2,57
Seetharampalya,3,Sapazta,1798,3,3,73
KR Puram,2,Jahidva,866.28,2,0,36.38
Whitefield,4,BrlisCo,3410,5,3,253
Singasandra,2,EAvarum,1179,2,2,56
Rajaji Nagar,5,PhestOn,3600,5,2,510
Uttarahalli,2,Aklia R,1125,2,1,48
Cambridge Layout,3,,2098,3,1,210
3rd Phase JP Nagar,3,,2400,3,1,270
Haralur Road,3,,1976,3,2,92
5th Phase JP Nagar,2,Niaveha,1190,2,2,61.8
cooketown,3,,1800,3,3,192
Jakkur,3,Ceezey ,1761,3,1,84.52
Cooke Town,3,,1700,3,3,120
Gandhi Bazar,6,,1020,6,1,370
Electronic City,2,Prarkun,1128,2,1,64.8
5th Stage BEML Layout,3,,2000,3,2,85
Electronic City,3,,1220,2,1,35.25
Shauhardha Layout,1,Ardaseo,509,1,1,20
Ambedkar Nagar,3,SoechHa,1852,4,2,122
Varthur,2,Myple M,1045,2,1,40.65
Kaverappa Layout,4,Varve R,3535,4,2,215
Marathahalli,2,,1102,2,2,53.67
Omkar Nagar,4,Shinei ,1800,3,2,82
Hebbal Kempapura,3,,1436,2,2,75
Chikkadunnasandra,3,Kr 10Ca,1397,2,2,52
Kothanur,2,,1140,2,2,56
Balagere,1,Soresea,645,1,1,55
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Bhoopsandra,3,E onsg ,2050,3,2,135
Sarjapur  Road,2,DSndsod,1335,2,1,95
Gandhi Bazar,6,,1020,6,1,370
Hebbal,3,Magiaya,1255,3,2,77.68
Thanisandra,2,SLaceda,1140,2,1,59
Hosakerehalli,3,Taonte ,2376,3,1,240
Thanisandra,1,Bhe 2ko,663,1,1,46
Victoria Layout,2,,1276,2,0,146
Kanakpura Road,3,JRrnauv,1450,3,3,60.9
Kodichikkanahalli,3,,1400,3,3,66
Divya Unnathi Layout,2,,1339,2,1,53.56
Electronic City,3,,1220,2,1,35.23
Malleshwaram,3,Sariaat,2200,3,2,275
Harohalli,2,,1305,2,2,52
Green Glen Layout,3,Sravea ,1740,3,3,80
Anekal,2,,680,1,1,21
Bannerghatta Road,2,,1154,2,2,47
Munnekollal,2,,1200,2,2,40
Hennur,2,,1155,2,2,54.5
Sarjapur  Road,3,Shthi S,1525,2,3,63
Gandhi Bazar,6,,1020,6,1,370
Hebbal,4,Raard B,2470,5,2,192
Padmanabhanagar,2,,1100,2,1,60
Hormavu,2,Savar S,1250,2,2,65
Kothanur,2,YMhenLi,1400,2,1,70
Ittamadu,3,Naory G,1600,3,2,100
Electronic City,2,GMown E,1060,2,1,55
Horamavu Banaswadi,2,,1272,2,2,50
Kanakpura Road,2,Soazak ,1296,2,2,105
Dollars Colony,4,,2100,3,2,280
Karuna Nagar,3,AjityIn,1945,3,3,115
Chandapura,3,,1033,2,2,30.47
Stage-4 Bommanahalli,3,Pantsce,2300,2,2,69
Gunjur Palya,2,,1235,2,2,52.76
3rd Block Koramangala,3,Aplanje,2100,3,1,270
2nd Phase JP Nagar,2,Sharlth,850,2,1,42.5
Subramanyapura,3,Mayne A,1880,3,2,110
1st Block Jayanagar,4,,2450,4,2,368
Kenchenahalli,2,Unateit,1060,2,2,52
Hennur Road,3,SaireSa,2041,3,3,138
Gandhi Bazar,6,,1020,6,1,370
Vasanthapura,2,,1037,2,1,36.28
"Electronic city phase 1, ",2,,1150,2,1,39
LB Shastri Nagar,2,MCrds S,1184,2,1,62
Sarjapur  Road,3,,1680,3,2,126
Thanisandra,3,Bhe 2ko,1411,3,2,100
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,2,,900,2,2,41
Jakkur Plantation,4,,3500,4,3,320
Thanisandra,3,Soitya ,1702,3,2,120
Yelahanka,2,BKideor,1185,2,2,45
Kanakpura Road,3,PrarePa,1300,3,1,64
Lavakusha Nagar,3,Vanusn ,1545,3,2,65
6th Phase JP Nagar,3,NCierar,1515,2,2,135
Jigani,3,DLhtsen,1300,3,3,55
JP Nagar,2,,1107,2,1,57
Old Madras Road,3,Brglede,1720,3,2,106
Kuvempu Nagar,3,Srersas,1540,3,2,150
Bannerghatta Road,2,,1000,2,1,44.5
Electronic City,1,KonteiT,710,1,1,40.42
Thanisandra,2,SLaceda,1100,2,1,38
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Bannerghatta Road,2,Saavenc,1250,2,0,48
Gandhi Bazar,6,,1020,6,1,370
Hegde Nagar,3,Sonosty,1584.01,3,1,104
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kaggadasapura,3,SrncyRe,1485,2,2,70
Hennur Road,3,Maity W,1100,2,1,78
8th Phase JP Nagar,2,,1245,2,1,59
Gandhi Bazar,6,,1020,6,1,370
Frazer Town,3,,2214,3,3,350
Anathanagar,2,,1050,2,2,45
Gandhi Bazar,6,,1020,6,1,370
Bannerghatta Road,3,Uncioe ,1640,3,2,105
Basavanapura,2,Papusa ,1165,2,1,65
Kengeri Satellite Town,2,MMowsik,1110,2,1,43
vinayakanagar,7,,1200,5,2,200
St. John's Road,4,Soy 1Iv,4000,4,2,630
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Haralur Road,2,NDionas,1300,2,2,75
Gandhi Bazar,6,,1020,6,1,370
Hennur Road,2,Puachal,1232,2,1,69.61
Jalahalli,3,,1704,3,2,94.36
7th Phase JP Nagar,3,,1275,2,2,88
Sarjapur  Road,3,GCiewty,1222,2,1,68
Varthur,2,MKllei ,1155,2,2,39
Electronic City,2,,1000,2,1,29.95
Horamavu Banaswadi,2,Bhave E,1200,2,1,45
Yelahanka,3,Goues A,1517,3,2,71.28
Horamavu Agara,2,,1166,2,1,37.29
Electronic City,2,Itelaa ,870,2,2,24
5th Phase JP Nagar,5,,4000,5,2,170
Gandhi Bazar,6,,1020,6,1,370
Yelahanka,4,Niareum,3019,6,1,190
Whitefield,3,SearkHy,1345,3,1,58
Gandhi Bazar,6,,1020,6,1,370
EPIP Zone,4,AkoreEn,3800,5,2,170
Chandapura,3,,971,2,2,38
Hennur,2,Shateor,1255,2,1,52.32
EPIP Zone,2,Loe 1st,1810,2,2,65
"Whitefield, ",2,,1300,2,1,58
Thanisandra,2,MenueNo,1185,2,2,45
Pattandur Agrahara,2,ShaleSp,1350,2,3,68
Thyagaraja Nagar,7,,3000,6,3,180
Gandhi Bazar,6,,1020,6,1,370
Somasundara Palya,3,ManceEl,1650,3,2,126
Off Bannergatta Road,3,,1645,3,2,87
Hennur Road,3,ChionCo,1748,3,2,103
Gandhi Bazar,6,,1020,6,1,370
Kengeri Satellite Town,2,Rooodre,1170,2,3,50
Sarjapur  Road,4,Saitya ,3420,4,2,225
Hulimavu,3,Naepa D,1320,2,2,65
Bhoganhalli,3,Rosha I,1610,3,2,84.53
Frazer Town,3,Bamita ,1870,3,3,180
Sarjapur  Road,3,Mades G,1510,2,1,110
Gandhi Bazar,6,,1020,6,1,370
Kanakapura  Rod,3,,1305,2,1,45.68
Mahadevpura,3,Neisei ,1500,2,1,70
Indira Nagar,2,Goareir,1149,2,1,130
Thanisandra,4,Bhmesy ,1948,4,2,129
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,2,SJityaz,1242,2,1,78
Sonnenahalli,2,Skacak ,1268,2,1,58
Ramamurthy Nagar,2,Saoneil,1101,2,1,50
Kallumantapa,2,Bhmesa ,1255,2,3,65
Gunjur,3,DSerste,1362,3,1,62.63
Sarjapur  Road,3,Puops R,984,3,2,140
Hosa Road,2,SStusan,1089,2,1,32.67
Byrathi Village,2,,800,1,3,95
Uttarahalli,3,Aklia R,1345,2,1,57
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kaggalipura,2,Baowsig,950,2,1,45
HBR Layout,2,Mantsce,1068,2,1,43
Yelahanka New Town,2,KHatsFl,860,1,2,31
Gandhi Bazar,6,,1020,6,1,370
Yelahanka,3,Pyikad ,1756,3,2,66.73
Whitefield,2,SSthamh,1205,2,1,41
Gandhi Bazar,6,,1020,6,1,370
Banashankari,3,Bregae ,1800,3,2,125
Ashok Nagar,4,,8321,5,2,2912
